annual_income_usd,outstanding_debt_usd,missed_payments,employment_status,employment_years,credit_history_years,number_of_credit_cards,loan_types,marital_status,dependents,education_level,residence_type,savings_balance,age,credit_score
81575.06413498381,75798.5290731496,11.0,Unemployed,15.045507217120115,14.82396538273246,0.0,None,Married,5.0,High School,Other,122291.42005958802,25.0,318.0
224576.93927239958,54977.75073851769,3.0,Retired,4.659337363990326,,7.0,None,Single,2.0,Master,Rent,169646.4969337683,72.0,388.0
168983.90429588786,29672.93295222027,12.0,,35.675024432972705,28.80939987388142,5.0,None,Married,2.0,Bachelor,Own,,47.0,452.0
49213.95213038283,86180.41537200831,8.0,Unemployed,,6.945939210537561,9.0,Auto Only,Single,2.0,,Rent,185629.0395728752,24.0,798.0
48161.67416398972,91736.1754691969,12.0,Self-Employed,8.290976663673334,13.201421961211867,1.0,None,Single,4.0,Master,Rent,6437.937003587479,67.0,381.0
237624.25211435097,125169.88230403996,2.0,Retired,35.0040026288722,12.6705280118409,6.0,Mortgage Only,Divorced,2.0,PhD,Rent,96826.3530607967,36.0,691.0
184014.4001986267,110892.70430600707,2.0,Retired,22.291282527467878,17.98254443296887,1.0,Multiple,Married,5.0,,Own,64802.1452821159,20.0,
161449.90045143946,77310.3897215197,10.0,Employed,30.821512212859133,9.842004875548668,0.0,Mortgage Only,Married,4.0,Bachelor,Other,48836.88833246824,74.0,698.0
81919.88484937159,121432.58501452462,11.0,Unemployed,26.05108846068599,14.405256915455046,6.0,Mortgage Only,Married,,High School,Other,65136.506754758215,27.0,697.0
107717.25096063572,17004.14217082996,14.0,Unemployed,2.8067735287218287,27.663557198572875,7.0,Multiple,Divorced,0.0,Master,With Family,8265.592570132152,48.0,524.0
248308.62234587062,35832.36749078708,9.0,Retired,,1.7310916664706433,6.0,Mortgage Only,Divorced,5.0,PhD,Own,17485.794257031717,64.0,414.0
98138.72949768936,112994.25195943208,12.0,Unemployed,16.90947299131164,0.4437234676864499,8.0,Mortgage Only,Single,3.0,Master,With Family,141378.00266781027,30.0,576.0
69412.75839461206,63240.965831225825,1.0,Retired,,29.92297248106047,6.0,Mortgage Only,Divorced,5.0,Master,Own,16290.247676760373,48.0,509.0
,86070.10251566187,10.0,Unemployed,14.907685740279565,14.02892757525911,6.0,None,Divorced,4.0,,Other,179364.9566674909,60.0,509.0
235577.5597260405,129462.78909532384,,Retired,1.442307804167906,9.969639472783967,3.0,None,Single,0.0,College,Own,136658.1924664374,26.0,770.0
,139266.11321919953,10.0,Employed,35.3418798569609,6.4803162689997285,1.0,None,Single,2.0,PhD,With Family,128866.41782404749,36.0,498.0
90686.23042009828,139274.79890905292,12.0,Self-Employed,1.7280473578888378,20.393939067418202,8.0,Mortgage Only,Divorced,0.0,PhD,Rent,117030.23223716089,44.0,619.0
28971.221312118472,53268.3480292726,10.0,Employed,21.934556238565982,18.78630995747355,3.0,Multiple,Divorced,1.0,Master,Rent,182735.27694886297,51.0,682.0
28228.61718171661,92821.16813935629,1.0,Unemployed,27.583121322638853,7.8648611160948505,8.0,Multiple,Married,2.0,High School,With Family,71274.63858860396,53.0,459.0
35351.06885852455,,10.0,Retired,11.712704578261732,7.293844809054361,1.0,Multiple,Single,4.0,Master,Rent,49127.074023271474,36.0,426.0
36091.008710519585,42905.737662788124,1.0,Employed,0.0855141389576719,24.98317054984669,3.0,,Single,1.0,Master,Other,132517.50041581006,35.0,688.0
237861.585052576,68652.99152776302,2.0,Unemployed,22.158040083422513,22.170905895187413,4.0,Mortgage Only,Widowed,0.0,PhD,Rent,97183.34333681216,18.0,727.0
184606.23230821968,62546.769852352576,2.0,Unemployed,18.600801899990103,22.91714364958078,5.0,Mortgage Only,Divorced,,Master,Rent,180493.66482110962,,459.0
95612.55008706785,102417.85325807912,1.0,Self-Employed,7.476167168965726,,,Mortgage Only,Married,0.0,Master,Rent,12683.922473339537,68.0,341.0
51940.303606490925,89685.45546265108,14.0,Retired,3.6854397018953433,9.304101085832109,5.0,None,Widowed,2.0,High School,Rent,,65.0,734.0
286571.5018901337,136208.30186736968,14.0,Self-Employed,31.910585403593302,14.934596400218345,3.0,Auto Only,Divorced,0.0,College,Other,169350.4578599432,29.0,320.0
124316.25868714787,37467.817924068455,1.0,Retired,7.8008207932450135,,5.0,Auto Only,Divorced,5.0,College,Rent,46393.03205291707,57.0,471.0
,90047.72042249821,5.0,Unemployed,16.999600923339372,21.67799441223843,2.0,Auto Only,Married,0.0,College,With Family,164516.1350054112,23.0,742.0
24482.55659157866,105025.29678554239,7.0,Self-Employed,31.515022911136978,13.781204513967346,0.0,None,Married,4.0,College,Rent,114498.05032168813,60.0,471.0
79596.91765327661,8908.99466474479,14.0,Unemployed,36.61663289926152,20.852464811755,7.0,None,Single,3.0,Master,Own,184874.94419087132,36.0,614.0
245633.17121863776,95434.78668330901,9.0,,,15.624993262857657,3.0,Mortgage Only,Divorced,2.0,Bachelor,Rent,90382.07591723965,43.0,570.0
,89109.1733409598,13.0,Employed,18.63392789682805,4.8429706200383995,8.0,Mortgage Only,Married,0.0,Bachelor,Own,52434.81074147729,,
26612.019438985313,47883.418467156385,9.0,Retired,28.423714693293164,2.284747559692024,0.0,Mortgage Only,Married,4.0,Master,Own,148903.55512435432,42.0,627.0
76275.39672342726,147733.84572942517,3.0,Unemployed,6.125392473936815,16.82598223818975,0.0,Multiple,Divorced,,Master,Own,66654.85539826557,34.0,301.0
226553.4932747667,61117.03275584441,11.0,Retired,33.58951002634114,13.90464789919742,6.0,Auto Only,Divorced,3.0,College,Own,43987.17413754314,29.0,509.0
40488.22488816389,26140.176518536773,3.0,Retired,10.882416727341386,11.420956365528731,2.0,Mortgage Only,Divorced,1.0,Master,Rent,142494.3606169004,37.0,302.0
136393.02185285816,83094.00902393811,10.0,Employed,16.64811277447962,17.1029861232384,9.0,None,Divorced,2.0,PhD,Own,165235.39311287107,57.0,420.0
288952.8552544512,53898.7540147905,5.0,Unemployed,37.5360994502987,21.02880898120094,,Auto Only,Widowed,5.0,High School,Other,189085.34351835086,45.0,728.0
182023.50580492557,34829.813734280666,,Retired,38.8071189961269,6.946683179416157,3.0,None,Widowed,1.0,High School,Own,59968.103095211656,23.0,426.0
140634.6595689003,50388.03882619584,4.0,Self-Employed,17.339144898431726,16.3562249968216,2.0,Mortgage Only,Divorced,1.0,PhD,With Family,93803.37642370038,65.0,351.0
289019.8033263624,,3.0,Employed,,6.580190423305378,7.0,Multiple,Widowed,5.0,High School,With Family,36785.35386555888,69.0,566.0
161811.6424961099,44914.45372680132,10.0,Employed,5.48363485340186,19.20728505655279,5.0,Auto Only,Married,5.0,Bachelor,Own,187848.07665412783,40.0,495.0
188510.03004732536,86428.95546093378,4.0,Self-Employed,6.2219264622482395,16.674197787958384,0.0,Multiple,Single,2.0,College,Rent,164534.41893074918,48.0,409.0
163464.7217988661,64.66643009707673,8.0,,20.408063025157084,21.005291334348737,5.0,Multiple,Single,5.0,Bachelor,Other,113056.82542662325,19.0,691.0
,17119.71229987742,4.0,Retired,27.431233184296172,25.065843841935678,1.0,Mortgage Only,Widowed,4.0,Bachelor,Rent,183266.91249025558,50.0,669.0
113051.57580133011,111825.50840700752,6.0,Self-Employed,14.514118928669655,9.794304854513832,8.0,Auto Only,Single,3.0,PhD,Other,164012.57862650146,26.0,361.0
62581.911568836775,30833.20861841062,0.0,Unemployed,9.560750613044,,0.0,,Widowed,,PhD,Rent,6175.436826819802,43.0,482.0
152131.5868699051,119012.18035476246,12.0,Employed,0.12423517696375175,2.298708038604007,6.0,Auto Only,Married,4.0,College,With Family,155758.94086818973,34.0,528.0
225154.07702918779,41328.195077919416,2.0,Self-Employed,11.618398868265523,19.06795989638603,2.0,Auto Only,Single,5.0,PhD,Rent,24334.624085490963,34.0,432.0
150663.43017402245,31281.934834143573,5.0,Retired,,9.1884869317179,4.0,Multiple,Divorced,0.0,High School,Other,66261.09951817381,62.0,433.0
76655.2875038747,103134.47829810008,5.0,Unemployed,29.64027134393703,22.423205856885424,2.0,Multiple,Divorced,3.0,High School,Rent,23724.105163109143,47.0,
61919.79926842733,14778.016889081691,10.0,Employed,32.58977115525735,0.2307917551842098,1.0,Auto Only,Divorced,5.0,High School,With Family,12772.711912247381,54.0,570.0
291884.8124506203,54399.46264229885,0.0,Retired,20.888213694995265,24.91481532666663,3.0,None,,2.0,High School,Other,121184.41917118352,65.0,410.0
278044.6400677409,11309.640547349942,11.0,Employed,36.89382297161537,24.985860561607108,,Mortgage Only,Divorced,2.0,,With Family,190500.9440856596,47.0,616.0
107069.82101552357,30266.887835314872,1.0,Self-Employed,31.570094765683812,14.50424542244707,6.0,None,Widowed,5.0,Bachelor,,14385.298642795564,63.0,736.0
,23484.001062316755,3.0,,31.457517097677762,27.883215252969144,7.0,Mortgage Only,Married,5.0,High School,Other,149820.67619183578,69.0,480.0
193508.000560027,,2.0,Unemployed,0.6956569743621444,12.497872933810331,1.0,Multiple,Divorced,0.0,College,With Family,55857.17483935164,,612.0
106273.99738419655,86800.97838650671,7.0,Retired,1.9548377870664169,27.14803574932837,8.0,Mortgage Only,Widowed,3.0,Master,Rent,18055.366130522565,68.0,649.0
105370.81195391771,123069.50646108104,,,,0.01762238086181589,3.0,Multiple,Widowed,1.0,Bachelor,Rent,184457.84403367378,38.0,635.0
272009.63209079305,149012.09210759157,4.0,Retired,12.139155484423071,12.216263301575957,3.0,Multiple,Single,0.0,High School,Own,10824.956846600453,35.0,569.0
123752.9957054041,83229.16798756851,11.0,Self-Employed,11.299932546322001,1.7655706221000567,7.0,None,Single,3.0,PhD,Rent,21147.561769210377,44.0,832.0
41810.19751618997,144032.2607562561,5.0,Retired,11.83192115026078,5.724191290546882,8.0,Mortgage Only,Widowed,2.0,Bachelor,Other,45332.22956557785,22.0,749.0
227112.81515246895,14515.025865881404,5.0,Self-Employed,,13.157081501135506,1.0,Multiple,Widowed,1.0,High School,Own,186135.89268424784,30.0,575.0
61214.25952016676,17430.340315134952,12.0,Retired,27.10929488178634,20.46079064363934,3.0,Multiple,Divorced,5.0,PhD,With Family,60700.574395214055,43.0,445.0
213501.69096679802,74886.15536142686,10.0,Retired,1.9832079581623008,9.30763150053631,0.0,Auto Only,Single,2.0,College,Own,5867.15913099225,37.0,
213911.03119572115,18963.977223609978,10.0,Employed,31.653788423625166,6.959162047927533,9.0,Multiple,Widowed,5.0,College,Own,37527.49553297172,22.0,572.0
179719.87369658175,137175.18435887547,3.0,Employed,17.508677751811245,25.518045233874656,9.0,,Widowed,1.0,Master,Own,89004.99186018262,30.0,633.0
180482.40780515756,75655.73311001757,12.0,Retired,29.615544557011834,1.6371796056190135,4.0,Multiple,Single,3.0,Master,With Family,176515.00280730124,57.0,568.0
118066.95885161478,131660.6423350292,9.0,Retired,37.86315822917195,25.362909834780616,3.0,Multiple,Married,0.0,Master,Rent,52061.82944998294,54.0,326.0
135055.6922472883,32906.16006372705,10.0,Retired,25.46141761497421,0.7919221764155793,0.0,None,,1.0,High School,Own,102120.5879414117,65.0,817.0
